"Unemployment in per cent of the labour force (provisional) by sex, age, region and time",,,,,,,,,,,,,,,,
Units: Per cent,,,,,,,,,,,,,,,,
,,,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,,
,,Langeland,5.6,5.4,4.9,4,3.5,3.6,3.5,3.8,3.9,4.3,4.8,5.5,,4.40
,,Middelfart,3.1,3.2,3,2.6,2.6,2.6,2.5,2.6,2.6,2.6,2.8,2.8,,2.75
,,Nordfyns,4.6,4.6,4.4,3.7,3.6,3.7,3.6,3.8,3.9,4.1,4.1,4.4,,4.04
,,Nyborg,4.2,4.1,3.9,3.4,3.4,3.3,3,3.4,3.5,3.7,3.8,4.1,,3.65
,,Odense,4.8,4.9,4.6,4.2,4.2,4.5,4.8,4.9,4.6,4.6,4.6,4.5,,4.60
,,Svendborg,4.4,4.3,4.2,3.8,3.8,3.9,3.6,3.9,3.8,3.8,4.1,4.5,,4.01
,,Ærø,5.3,4.6,4.3,3.8,3.4,3.6,2.8,3.3,3.2,3.8,4.7,4.5,,3.94
,,Province Sydjylland,3.6,3.5,3.4,3,3,3,2.8,3,3,3.1,3.3,3.4,,3.18
,,Billund,2.8,2.8,2.6,2.1,2.1,2,1.9,1.9,2.1,2.4,2.7,2.9,,2.36
,,Esbjerg,3.8,3.8,3.5,3.1,3,3,3,3.1,3,3.1,3.2,3.4,,3.25
,,Fanø,5.1,4.9,4,3.5,3.9,3.5,3.4,3.9,3.6,3.6,4.2,4.6,,4.02
,,Fredericia,4.3,4.3,4.4,4,4,4,3.8,3.9,3.9,4.1,4.1,4.3,,4.09
,,Haderslev,3.8,3.8,3.6,3.2,3.3,3.1,3.1,3.1,3.1,3.4,3.5,3.7,,3.39
,,Kolding,3.4,3.6,3.6,3.2,3.2,3.1,3.1,3.3,3.2,3.2,3.3,3.4,,3.30
,,Sønderborg,3.8,3.7,3.5,3.1,3.2,3.3,3.1,3.3,3.3,3.5,3.6,3.7,,3.43
,,Tønder,3.9,3.7,3.5,2.9,3.1,2.8,2.5,2.8,2.9,3,3.4,3.8,,3.19
,,Varde,3.2,3.1,2.7,2.3,2.1,2.1,2,2.2,2.2,2.4,2.6,2.7,,2.47
