date,country,mortality,day,month
2021-09-26,Belgium,0.04999999999999958,26,9
2021-10-03,Belgium,0.7590909090909087,3,10
2021-10-10,Belgium,1.8863636363636365,10,10
2021-10-17,Belgium,4.318181818181818,17,10
2021-10-24,Belgium,7.431818181818182,24,10
2021-10-31,Belgium,7.413636363636363,31,10
2020-01-05,Bulgaria,-16.892857142857142,5,1
2020-01-12,Bulgaria,-10.571428571428571,12,1
2020-01-19,Bulgaria,-12.278571428571428,19,1
2020-01-26,Bulgaria,-4.135714285714284,26,1
2020-02-02,Bulgaria,-0.7642857142857148,2,2
2020-02-09,Bulgaria,1.3214285714285725,9,2
2020-02-16,Bulgaria,0.48571428571428704,16,2
2020-02-23,Bulgaria,-4.507142857142858,23,2
2020-03-01,Bulgaria,-3.464285714285714,1,3
2020-03-08,Bulgaria,-7.85,8,3
2020-03-15,Bulgaria,-4.55,15,3
2020-03-22,Bulgaria,-4.264285714285714,22,3
2020-03-29,Bulgaria,-2.1714285714285717,29,3
2020-04-05,Bulgaria,-3.264285714285714,5,4
2020-04-12,Bulgaria,-1.5857142857142865,12,4
2020-04-19,Bulgaria,-1.5071428571428578,19,4
2020-04-26,Bulgaria,-2.55,26,4
2020-05-03,Bulgaria,-4.357142857142857,3,5
2020-05-10,Bulgaria,-4.192857142857144,10,5
2020-05-17,Bulgaria,4.192857142857144,17,5
2020-05-24,Bulgaria,-2.749999999999999,24,5
2020-05-31,Bulgaria,-5.521428571428572,31,5
2020-06-07,Bulgaria,0.11428571428571489,7,6
2020-06-14,Bulgaria,0.5928571428571429,14,6
2020-06-21,Bulgaria,-1.1285714285714277,21,6
2020-06-28,Bulgaria,-1.971428571428571,28,6
2020-07-05,Bulgaria,8.571428571428573,5,7
2020-07-12,Bulgaria,3.657142857142857,12,7
2020-07-19,Bulgaria,-0.9642857142857135,19,7
2020-07-26,Bulgaria,0.564285714285715,26,7
2020-08-02,Bulgaria,7.07142857142857,2,8
2020-08-09,Bulgaria,4.450000000000001,9,8
2020-08-16,Bulgaria,4.142857142857142,16,8
