country_region_code,variable,value,wave
Belgium,Parks,34.85488704472107,Second wave
Belgium,Residential,11.004979253112033,Second wave
Belgium,Retail and recreation,-30.5830336560627,Second wave
Belgium,Transit stations,-26.65850622406639,Second wave
Belgium,Workplaces,-24.930705394190873,Second wave
Bulgaria,Grocery and pharmacy,3.6025891623066313,Second wave
Bulgaria,Parks,2.4268980606364106,Second wave
Bulgaria,Residential,2.7187328400191673,Second wave
Bulgaria,Retail and recreation,-24.81778527116871,Second wave
Bulgaria,Transit stations,-19.199810538004655,Second wave
Bulgaria,Workplaces,-22.259303175038234,Second wave
Switzerland,Grocery and pharmacy,-1.0395391414141415,Second wave
Switzerland,Parks,17.09925286078454,Second wave
Switzerland,Residential,8.516998172534317,Second wave
Switzerland,Retail and recreation,-29.25009809729798,Second wave
Switzerland,Transit stations,-23.84405255878285,Second wave
Switzerland,Workplaces,-20.738743761138323,Second wave
Czech Republic,Grocery and pharmacy,3.17928808950727,Second wave
Czech Republic,Parks,15.557110373265385,Second wave
Czech Republic,Residential,9.234919917580319,Second wave
Czech Republic,Retail and recreation,-34.25517642799898,Second wave
Czech Republic,Transit stations,-16.451816847875403,Second wave
Czech Republic,Workplaces,-20.334485009509187,Second wave
Germany,Grocery and pharmacy,-3.3169087136929463,Second wave
Germany,Parks,34.602472941995764,Second wave
Germany,Residential,8.550570539419088,Second wave
Germany,Retail and recreation,-33.88252074688797,Second wave
Germany,Transit stations,-30.3597510373444,Second wave
Germany,Workplaces,-22.37344398340249,Second wave
Denmark,Grocery and pharmacy,-5.363410919005541,Second wave
Denmark,Parks,24.068284898603785,Second wave
Denmark,Residential,7.546937237372465,Second wave
Denmark,Retail and recreation,-9.979977128110113,Second wave
Denmark,Transit stations,-29.361629930042962,Second wave
Denmark,Workplaces,-24.28663352709207,Second wave
Estonia,Grocery and pharmacy,5.072001580715273,Second wave
Estonia,Parks,7.823275862068965,Second wave
Estonia,Residential,5.263228610946453,Second wave
Estonia,Retail and recreation,-15.050661924520846,Second wave
Estonia,Transit stations,-15.856727919383522,Second wave
Estonia,Workplaces,-18.518869788579334,Second wave
Spain,Grocery and pharmacy,0.6736629100704469,Second wave
