2020-01-26,2020-02-02,2020-02-08,2020-02-16,2020-02-23,2020-03-05,2020-03-15,2020-03-22,2020-03-29,2020-04-10,2020-04-19,2020-04-26,2020-05-01,2020-05-04,2020-05-07,2020-05-17,2020-05-24,2020-05-31,2020-06-09,2020-06-12,2020-06-14,2020-06-21,2020-06-28,2020-07-06,2020-07-19,2020-07-26,2020-08-03,2020-08-11,2020-08-16,2020-08-23,2020-08-30,2020-09-02,2020-09-08,2020-09-13,2020-09-20,2020-09-27,2020-10-05,2020-10-18,2020-10-25,2020-11-10,2020-11-15,2020-11-22,2020-11-29,2020-12-01,2020-12-04,2020-12-07,2020-12-13,2020-12-20,2020-12-27,2021-01-08,2021-01-17,2021-01-24,2021-01-31,2021-02-05,2021-02-14,2021-02-21,2021-02-28,2021-03-01,2021-03-10,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-07,2021-04-18,2021-04-25,2021-05-09,2021-05-12,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-02,2021-07-03,2021-07-11,2021-07-18,2021-07-25,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-19,2021-09-26,2021-10-01,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-04,2021-11-07,2021-11-14,2021-11-21,2021-11-28,x,y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10.5740118,47.37609545
0,0,0,0,0,0,0,1,3,0,2,3,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,2,4,3,18,27,25,0,3,0,17,16,8,1,4,4,5,0,4,5,1,4,1,0,1,1,2,0,0,2,0,0,0,1,1,1,0,1,0,0,3,2,0,0,0,0,0,0,1,8,4,5,0,2,0,3,4,0,1,8,2,11.34310465,47.20347821
0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,1,0,3,2,3,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,12.52133938,46.90682434
0,0,0,0,0,1,0,3,6,0,1,1,0,4,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,5,4,6,0,6,0,6,6,1,0,5,4,1,1,0,1,0,1,0,0,4,1,0,0,0,0,0,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,4,0,0,1,2,10.70054055,47.06406634
0,0,0,0,0,1,0,0,7,0,10,5,0,13,0,0,1,0,0,24,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,1,1,30,34,28,0,22,0,15,11,5,0,9,8,6,3,6,6,3,10,2,0,2,3,4,0,2,2,0,0,0,0,0,0,0,0,1,4,1,0,0,1,0,0,0,0,1,0,6,6,0,3,2,0,6,0,0,2,4,12.02549664,47.38878284
0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,4,6,7,0,0,0,5,1,1,0,0,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,9.958103763,47.1779863
0,0,0,0,0,2,0,0,1,1,5,2,0,4,0,0,0,0,0,30,0,0,0,0,0,0,0,19,1,0,0,0,0,0,1,1,0,1,2,2,16,22,25,0,1,0,20,12,13,0,7,3,5,3,0,1,5,12,1,3,3,0,1,0,1,3,1,0,2,1,0,0,1,1,1,3,3,4,0,0,0,0,0,2,3,4,1,6,1,4,2,0,3,0,7,11,11,9.727972726,47.39008659
0,0,3,0,0,98,13,42,122,23,256,177,0,259,4,48,26,20,2,69,10,7,6,13,7,1,0,182,6,13,5,0,7,6,5,6,68,34,73,31,131,127,89,0,319,5,49,51,26,3,20,24,27,52,26,19,14,24,10,25,40,23,53,7,40,48,13,0,20,19,17,14,8,15,5,24,19,22,0,2,10,7,5,7,48,13,10,17,21,19,19,24,50,4,30,10,11,4.372598434,50.83504086
0,0,13,0,0,355,4,89,370,31,849,588,0,784,10,164,127,94,14,412,31,28,19,65,7,9,0,581,47,22,15,0,18,9,16,21,290,83,171,61,595,551,491,0,918,6,417,431,366,14,237,273,184,103,178,132,106,309,20,102,78,97,118,4,117,116,16,0,59,46,40,31,16,13,9,197,105,72,5,4,9,9,15,15,91,17,16,255,22,42,44,62,130,0,91,55,11,4.239597068,51.03876614
0,0,6,0,0,248,1,72,293,31,563,427,0,542,11,103,81,48,3,224,18,8,15,35,6,5,0,672,24,8,8,0,8,4,7,13,179,123,268,52,611,454,303,0,743,2,202,175,146,5,88,79,86,105,77,62,56,124,30,46,64,70,86,11,113,118,17,0,65,65,43,41,26,14,14,80,49,65,4,8,7,7,23,13,120,14,28,117,22,30,47,66,112,9,75,53,11,5.013132831,50.31355082
