"Unemployment in per cent of the labour force (provisional) by sex, age, region and time",,,,,,,,,,,,,,,,
Units: Per cent,,,,,,,,,,,,,,,,
,,,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,,
,,Syddjurs,2,2.3,2.2,2,1.8,1.8,1.7,1.5,1.6,1.5,1.4,1.7,,1.79
,,Aarhus,2,2.2,2.1,1.9,1.8,2,2.6,2.3,1.9,1.9,1.7,1.6,,2.00
,,Province Vestjylland,2.2,2.1,2,1.8,1.6,1.7,1.8,1.7,1.6,1.6,1.7,1.7,,1.79
,,Herning,2.2,2.2,2.2,1.9,1.8,1.9,1.9,1.7,1.7,1.7,1.6,1.7,,1.88
,,Holstebro,1.7,1.7,1.9,1.7,1.5,1.4,1.5,1.4,1.4,1.6,1.6,1.4,,1.57
,,Ikast-Brande,2.6,2.5,2.3,2.4,2.4,2.3,2.2,2.3,1.9,2.2,2.3,2,,2.28
,,Lemvig,2.5,2.3,2,1.7,1.6,1.3,1.2,1.4,1.6,1.7,1.7,1.6,,1.72
,,Ringkøbing-Skjern,1.8,1.6,1.4,1.2,1,1,0.9,1,1,1,1.1,1.1,,1.18
,,Skive,2.1,2,1.7,1.8,1.5,1.5,2,2,1.6,1.5,1.6,1.6,,1.74
,,Struer,2.6,2.8,2.9,2.6,2.1,2,2.6,2,1.7,1.7,2,2.3,,2.28
,,Viborg,2.3,2.3,2.2,1.8,1.7,2,2.1,2,1.7,1.9,2,2,,2.00
,,Region Nordjylland,2.8,2.9,2.8,2.5,2.3,2.5,2.9,2.6,2.3,2.4,2.4,2.3,,2.56
,,Province Nordjylland,2.8,2.9,2.8,2.5,2.3,2.5,2.9,2.6,2.3,2.4,2.4,2.3,,2.56
,,Brønderslev,2.3,2.7,2.5,2.1,2.2,1.7,1.8,1.7,1.3,1.9,1.8,1.8,,1.98
,,Frederikshavn,2.8,3,2.7,2.5,2.4,2.2,2,1.8,2.1,2.4,2.3,2.6,,2.40
,,Hjørring,2.7,2.7,2.4,2.2,2.1,2.5,2.3,2.1,2,2.3,2.6,2.5,,2.37
,,Jammerbugt,3,3,2.9,2.2,2.1,2,2,1.7,2,2.3,2.3,2.1,,2.30
,,Læsø,3.5,4.4,3,2.1,0,0,0,1.5,1.5,2.7,2.6,2.6,,1.99
,,Mariagerfjord,2.8,2.7,2.5,2.3,2.6,2.6,2.3,2.4,2.4,2.4,2.4,2.9,,2.53
,,Morsø,2.1,1.9,1.7,1.7,1.4,1.5,1.6,1.3,1.2,1,0.9,1.2,,1.46
,,Rebild,2.8,3.1,2.8,2.2,2.1,1.9,2,2.1,1.4,1.7,1.6,1.9,,2.13
,,Thisted,2.2,2.4,2.2,2,1.8,1.6,2,1.9,1.9,2,2.2,2.2,,2.03
,,Vesthimmerlands,2.7,2.8,2.4,2.2,2.1,2.1,2.2,1.9,1.9,1.8,1.9,1.8,,2.15
,,Aalborg,3,3.2,3.1,2.7,2.5,3,3.8,3.3,2.8,2.7,2.6,2.4,,2.93
,,Unknown municipality,0,0,0,0,0,0,0,0,0,0,0,0,,0.00
,,Abroad,0,0,0,0,0,0,0,0,0,0,0,0,,0.00
,,,,,,,,,,,,,,,,
Gross unemployment has been severely affected by the COVID-19 shutdown from March 2020. ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,,
,,,1.3,1.4,1.5,1.9,1.9,2,2.3,2,1.6,1.5,1.4,1.4,,1.68
,,,1.2,1.4,1.5,1.8,1.8,2,2.4,2.1,1.6,1.5,1.4,1.4,,1.68
,,,1.2,1.4,1.5,1.8,1.8,2,2.4,2.2,1.6,1.5,1.4,1.4,,1.68
,,,1.1,1.2,1.3,1.9,2,2.1,2.4,2,1.4,1.3,1.3,1.1,,1.59
,,,0.9,1.1,1.2,1.3,1.6,1.1,1.1,1.3,1.1,1.1,1.5,1.2,,1.21
,,,1.4,1.6,1.7,2.1,1.7,1.9,1.7,1.9,1.8,2.2,2.1,1.7,,1.82
,,,1.5,1.6,1.7,2.1,2.1,2.2,2.3,2.1,1.7,1.7,1.6,1.5,,1.84
,,,2.1,2.2,2.4,3,3,3.2,3.6,2.8,2.1,2.1,1.8,1.7,,2.50
,,,1.8,1.9,1.8,2.4,2.6,2.5,2.4,2.2,1.6,1.5,1.8,1.6,,2.01
,,,2,2.1,2.4,2.8,2.7,2.8,2.9,2.8,2.3,2.3,2.2,2,,2.44
,,,0.6,0.7,0.7,1,1.1,1.1,1.3,1,0.8,0.8,0.8,0.9,,0.90
,,,0.8,0.9,1.2,1.6,1.5,1.6,1.7,1.7,1.3,1.4,1.2,1.1,,1.33
,,,2.2,2.1,2.3,2.9,3.3,3.3,3.8,3,3.2,2.3,1.7,1.6,,2.64
,,,1.2,1.4,1.5,2.1,1.5,1.8,2,1.8,1.5,1.4,1.4,1.3,,1.58
,,,1.6,1.7,1.7,2.1,1.9,2.3,2.2,2.2,1.6,1.7,1.7,1.6,,1.86
,,,2,2.2,2.2,2.9,2.9,3,3,2.7,2.5,2.6,2.3,2.2,,2.54
,,,2.6,2.4,2.6,3.1,3.2,3.4,3.4,3,2.7,2.2,2,1.7,,2.69
,,,1.1,0.9,1,1.2,1.2,1.2,1.4,1.3,1,0.9,1,1,,1.10
,,,1.9,2,1.9,2.1,2.5,2.6,2.6,2.2,2,2.1,2,2,,2.16
,,,2.1,2.4,2.9,3.3,2.4,2.4,2.7,2.3,1.6,1.5,1.3,1.3,,2.18
,,,1.2,1.3,1.5,1.8,1.7,1.7,1.8,1.6,1.5,1.3,1.2,1.2,,1.48
,,,0.7,0.8,0.8,0.7,0.7,0.9,1,1.2,1.1,1.1,0.8,0.7,,0.88
,,,1.1,1.3,1.4,1.7,1.6,1.7,1.7,1.5,1.3,1.2,1.2,1.1,,1.40
,,,1.1,1.2,1.1,1.6,1.2,1.5,1.5,1.3,1.1,0.8,0.9,1.1,,1.20
,,,1.6,1.7,2,2.2,2.2,1.9,2.3,1.8,1.5,1.2,1,0.7,,1.68
,,,1,0.9,1.1,1.2,1.1,1.1,1,1.1,1.4,1.1,1.2,1.1,,1.11
,,,1.2,1.4,1.5,1.9,1.6,1.6,1.7,1.8,1.7,1.5,1.2,1.3,,1.53
,,,2.5,2.2,2.4,3.2,2.5,2.8,3.1,2.6,2.1,2.1,1.8,1.6,,2.41
,,,1.3,1.8,2,2.4,2.1,2.1,2.2,1.8,1.6,1.8,1.7,1.8,,1.88
,,,1.2,1.4,1.3,1.9,1.7,1.6,1.7,1.6,1.6,1.5,1.2,1.2,,1.49
,,,0.9,0.8,1.2,1.8,2.3,2.1,1.9,1.6,1.4,1.3,1,0.8,,1.43
,,,0.9,1,1,1.2,1.2,1.1,1.5,1.5,1.3,1.1,1,1,,1.15
,,,2.3,2.1,2.1,3.5,3.8,2.9,2.8,2.3,2.3,2.4,2.6,2.4,,2.63
,,,2.3,2.1,2.1,3.5,3.8,2.9,2.8,2.3,2.3,2.4,2.6,2.4,,2.63
,,,2,2.2,2.3,2.8,2.7,2.7,2.5,2.2,1.9,1.8,1.8,1.9,,2.23
,,,1.5,1.6,1.8,2.1,2.1,2.1,2.2,1.9,1.7,1.7,1.6,1.6,,1.83
