NUTS_ID,2020_POP,2020_NEET,2020_EDU,2020_UNEM,2020_YOUTH,2020_EMP
BE10,122.3364,17.9,81.97,65.9,8.1,46.35
BE21,187.3095,11.0,118.42,33.8,7.1,80.2
BE22,88.0602,7.7,55.839999999999996,14.3,3.5,37.4
BE23,152.6486,7.4,97.03999999999999,19.7,5.2,69.67
BE24,115.647,8.4,73.31,20.4,5.2,50.43
BE25,120.2352,8.5,73.46000000000001,18.3,4.4,52.42
BE31,40.6794,12.7,25.880000000000003,11.2,2.4,16.61
BE32,135.0295,17.2,85.7,43.2,8.6,47.089999999999996
BE33,111.3943,16.0,70.55,36.1,6.9,42.019999999999996
BE34,28.9606,10.2,18.61,6.7,2.2,12.209999999999999
BE35,49.9433,14.0,31.79,13.0,2.9,19.66
BG31,72.8157,33.1,43.2,39.1,3.9,25.35
BG32,77.345,17.7,48.13,20.9,3.875,32.89
BG33,92.487,17.8,59.54,26.7,4.0,39.69
BG34,102.4115,24.6,63.89,21.3,3.75,42.89
BG41,209.426,8.7,137.38,38.5,5.0,101.38
BG42,140.663,22.2,89.57000000000001,22.1,3.125,60.23
CZ01,132.4277,6.4,86.28,16.3,1.3,66.99
CZ02,138.5141,11.1,88.25,13.7,2.5,67.45
CZ03,123.3982,10.8,78.69,12.3,1.6,58.779999999999994
CZ04,111.5629,16.8,71.6,21.8,3.7,51.56
CZ05,151.7999,10.7,95.9,17.5,2.9,71.16
CZ06,170.1802,8.2,108.53,19.3,2.6,81.07000000000001
CZ07,121.457,11.9,77.24,14.8,2.7,56.260000000000005
CZ08,120.0539,13.2,77.34,21.3,3.5,55.42999999999999
DE11,415.4223,7.6,274.36,77.9,15.73,215.53000000000003
DE12,281.0854,6.8,187.35,53.2,12.870000000000001,144.65
DE13,227.1351,7.9,136.56,30.7,7.15,108.14000000000001
DE14,186.3966,7.7,126.94000000000001,30.7,6.760000000000001,100.53
DE21,471.0865,7.2,301.78000000000003,70.0,9.96,241.66
DE22,124.4169,6.24,85.33,17.408,6.119999999999999,67.88
DE23,111.2102,7.54,82.11,17.408,35.4,65.83
DE24,106.5371,7.0200000000000005,73.28999999999999,17.28,6.6,59.45
DE25,177.5169,7.0200000000000005,102.22,31.9,6.119999999999999,78.51
DE26,131.7619,6.760000000000001,78.44,18.304000000000002,35.4,61.42
DE27,189.9442,7.4,128.81,27.2,6.359999999999999,104.64000000000001
DE30,366.9491,12.1,240.86999999999998,119.8,18.24,178.0
DE40,252.1893,8.8,153.95,49.9,7.56,119.35999999999999
DE50,68.1202,13.640000000000002,44.3,20.000999999999998,6.6,31.45
DE60,184.7253,9.1,124.71,48.1,8.88,94.58
DE71,401.9961,9.7,264.54,84.8,15.719999999999999,199.73
DE72,104.8646,8.875,67.8,26.4,6.48,47.7
DE73,121.9473,10.5,76.25,23.090999999999998,6.96,58.71
DE80,160.8138,9.350000000000001,99.2,37.4,6.72,75.36
DE91,159.4929,7.663,105.65,36.9,6.708,77.34
DE92,214.8238,9.9,140.34,41.4,11.222999999999999,105.60999999999999
DE93,171.6448,9.02,105.42,31.8,8.256,79.02000000000001
DE94,253.3993,6.5,159.89000000000001,42.0,10.836,121.1
DEA1,520.7457,10.8,329.38,131.0,20.16,234.85999999999999
DEA2,447.8847,9.5,287.94,93.4,14.879999999999999,211.41
DEA3,262.4625,7.7,181.43,51.9,8.88,135.72
DEA4,205.5724,10.3,129.06,38.5,9.6,98.44
DEA5,358.0568,11.1,231.63000000000002,89.9,15.6,166.38
DEB1,149.8223,7.9799999999999995,84.87,22.225,8.16,64.44
DEB2,53.3113,6.555,32.87,7.366,8.16,25.05
DEB3,206.2567,8.8,144.14000000000001,45.8,8.88,109.24000000000001
DEC0,98.6887,9.350000000000001,62.58,29.483999999999998,6.48,45.96
DED2,159.6566,4.838,101.8,28.8,6.48,80.33
DED4,142.638,6.396,80.9,41.958,6.359999999999999,64.61
DED5,104.9025,5.739999999999999,59.589999999999996,25.5,7.08,45.480000000000004
DEE0,219.4782,10.01,130.60999999999999,51.9,6.48,100.05
DEF0,290.3773,10.0,183.44,51.0,11.28,140.67000000000002
DEG0,213.3378,7.48,128.0,44.4,7.68,99.03
EE00,132.8976,11.2,84.12,47.9,9.5,62.02
IE04,87.7832,16.8,55.61,20.3,7.1,37.07
IE05,164.1057,13.5,105.67,44.7,12.9,70.39
IE06,244.5551,13.7,164.09,71.7,22.0,112.94000000000001
EL30,373.8901,14.7,244.01999999999998,240.4,17.3,144.02
EL41,22.9516,27.4,11.86,14.4,2.5,7.08
EL42,34.7512,29.8,21.23,23.5,2.9,11.379999999999999
EL43,63.6504,17.8,39.7,48.4,5.5,22.4
EL51,59.8613,25.5,36.68,42.3,6.1,19.9
EL52,187.2102,16.6,117.14000000000001,144.4,13.1,62.89
EL53,26.467,22.7,16.75,21.3,2.5,8.5
EL54,33.3265,22.8,19.919999999999998,23.6,1.7,10.52
EL61,71.5115,18.2,43.83,50.9,6.9,24.240000000000002
EL62,20.3149,24.8,12.370000000000001,13.6,1.8,6.88
EL63,65.1065,20.7,41.82,59.7,6.4,21.16
EL64,55.6002,29.8,33.769999999999996,45.0,7.4,18.41
EL65,57.2151,19.5,32.83,27.4,3.2,20.66
ES11,270.2592,13.4,168.81,146.7,17.0,105.72999999999999
ES12,101.8899,16.8,63.739999999999995,62.7,6.2,37.57
ES13,58.2388,13.7,37.56,32.4,5.0,23.2
ES21,218.9138,12.1,137.91,96.8,16.7,90.77000000000001
ES22,65.6509,12.9,42.4,31.1,4.6,27.5
ES23,31.5931,11.3,20.369999999999997,16.7,2.5,13.6
ES24,133.0333,14.6,84.99,75.5,12.1,56.339999999999996
ES30,674.7068,13.0,450.08000000000004,434.9,63.4,300.76
ES41,240.1307,14.5,148.85999999999999,132.3,20.3,94.96000000000001
ES42,204.5554,18.0,134.98,171.5,24.6,78.97999999999999
ES43,106.1979,20.4,69.35,106.0,15.2,37.57
ES51,765.2348,18.2,500.81000000000006,482.3,100.4,329.74
