DATAFLOW,LAST UPDATE,freq,landuse,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:REG_AREA3$DEFAULTVIEW(1.0),06/02/20 23:00:00,A,TOTAL,KM2,AT312,2016,1744,
ESTAT:REG_AREA3$DEFAULTVIEW(1.0),06/02/20 23:00:00,A,TOTAL,KM2,AT313,2013,2660,
ESTAT:REG_AREA3$DEFAULTVIEW(1.0),06/02/20 23:00:00,A,TOTAL,KM2,AT313,2016,2660,
ESTAT:REG_AREA3$DEFAULTVIEW(1.0),06/02/20 23:00:00,A,TOTAL,KM2,AT314,2013,2238,
ESTAT:REG_AREA3$DEFAULTVIEW(1.0),06/02/20 23:00:00,A,TOTAL,KM2,AT314,2016,2238,
ESTAT:REG_AREA3$DEFAULTVIEW(1.0),06/02/20 23:00:00,A,TOTAL,KM2,AT315,2013,2516,
ESTAT:REG_AREA3$DEFAULTVIEW(1.0),06/02/20 23:00:00,A,TOTAL,KM2,AT315,2016,2516,
ESTAT:REG_AREA3$DEFAULTVIEW(1.0),06/02/20 23:00:00,A,TOTAL,KM2,AT32,2013,7155,
ESTAT:REG_AREA3$DEFAULTVIEW(1.0),06/02/20 23:00:00,A,TOTAL,KM2,AT32,2016,7154,
ESTAT:REG_AREA3$DEFAULTVIEW(1.0),06/02/20 23:00:00,A,TOTAL,KM2,AT321,2013,1020,
ESTAT:REG_AREA3$DEFAULTVIEW(1.0),06/02/20 23:00:00,A,TOTAL,KM2,AT321,2016,1020,
ESTAT:REG_AREA3$DEFAULTVIEW(1.0),06/02/20 23:00:00,A,TOTAL,KM2,AT322,2013,4396,
ESTAT:REG_AREA3$DEFAULTVIEW(1.0),06/02/20 23:00:00,A,TOTAL,KM2,AT322,2016,4396,
ESTAT:REG_AREA3$DEFAULTVIEW(1.0),06/02/20 23:00:00,A,TOTAL,KM2,AT323,2013,1738,
ESTAT:REG_AREA3$DEFAULTVIEW(1.0),06/02/20 23:00:00,A,TOTAL,KM2,AT323,2016,1738,
ESTAT:REG_AREA3$DEFAULTVIEW(1.0),06/02/20 23:00:00,A,TOTAL,KM2,AT33,2013,12648,
ESTAT:REG_AREA3$DEFAULTVIEW(1.0),06/02/20 23:00:00,A,TOTAL,KM2,AT33,2016,12648,
ESTAT:REG_AREA3$DEFAULTVIEW(1.0),06/02/20 23:00:00,A,TOTAL,KM2,AT331,2013,1237,
