Sex, Macroregions  development regions and counties, Months, MU: Percentage, Valoare
Total, Mehedinti, May 2019, Percentage, 6.8
Total, Mehedinti, June 2019, Percentage, 6.8
Total, Mehedinti, July 2019, Percentage, 6.3
Total, Mehedinti, August 2019, Percentage, 6.8
Total, Mehedinti, September 2019, Percentage, 6.7
Total, Mehedinti, October 2019, Percentage, 6.5
Total, Mehedinti, November 2019, Percentage, 6.7
Total, Mehedinti, December 2019, Percentage, 6.8
Total, Mehedinti, January 2020, Percentage, 6.8
Total, Mehedinti, February 2020, Percentage, 6.9
Total, Mehedinti, March 2020, Percentage, 6.8
Total, Mehedinti, April 2020, Percentage, 6
Total, Mehedinti, May 2020, Percentage, 5.7
Total, Mehedinti, June 2020, Percentage, 6.2
Total, Mehedinti, July 2020, Percentage, 6.6
Total, Mehedinti, August 2020, Percentage, 6.4
Total, Mehedinti, September 2020, Percentage, 6.2
Total, Mehedinti, October 2020, Percentage, 6.1
Total, Mehedinti, November 2020, Percentage, 6.1
Total, Mehedinti, December 2020, Percentage, 6.4
Total, Olt, January 2019, Percentage, 6.2
Total, Olt, February 2019, Percentage, 6.2
Total, Olt, March 2019, Percentage, 5.8
Total, Olt, April 2019, Percentage, 5.4
Total, Olt, May 2019, Percentage, 5.3
Total, Olt, June 2019, Percentage, 5.4
Total, Olt, July 2019, Percentage, 5.4
Total, Olt, August 2019, Percentage, 5.4
Total, Olt, September 2019, Percentage, 5.4
Total, Olt, October 2019, Percentage, 5.4
Total, Olt, November 2019, Percentage, 5.4
Total, Olt, December 2019, Percentage, 5.5
Total, Olt, January 2020, Percentage, 5.4
Total, Olt, February 2020, Percentage, 5.3
Total, Olt, March 2020, Percentage, 5.2
Total, Olt, April 2020, Percentage, 5.3
Total, Olt, May 2020, Percentage, 5.1
Total, Olt, June 2020, Percentage, 5.4
Total, Olt, July 2020, Percentage, 5.8
Total, Olt, August 2020, Percentage, 5.9
Total, Olt, September 2020, Percentage, 5.9
Total, Olt, October 2020, Percentage, 5.8
Total, Olt, November 2020, Percentage, 5.8
Total, Olt, December 2020, Percentage, 5.9
Total, Valcea, January 2019, Percentage, 3.2
Total, Valcea, February 2019, Percentage, 3.3
Total, Valcea, March 2019, Percentage, 3
Total, Valcea, April 2019, Percentage, 2.9
Total, Valcea, May 2019, Percentage, 2.9
Total, Valcea, June 2019, Percentage, 3
Total, Valcea, July 2019, Percentage, 3.2
Total, Valcea, August 2019, Percentage, 3.3
Total, Valcea, September 2019, Percentage, 3.3
Total, Valcea, October 2019, Percentage, 3.3
Total, Valcea, November 2019, Percentage, 3.1
Total, Valcea, December 2019, Percentage, 2.8
Total, Valcea, January 2020, Percentage, 2.9
Total, Valcea, February 2020, Percentage, 2.8
Total, Valcea, March 2020, Percentage, 2.8
Total, Valcea, April 2020, Percentage, 3.1
Total, Valcea, May 2020, Percentage, 3.1
Total, Valcea, June 2020, Percentage, 3.3
Total, Valcea, July 2020, Percentage, 3.7
Total, Valcea, August 2020, Percentage, 3.8
Total, Valcea, September 2020, Percentage, 3.9
Total, Valcea, October 2020, Percentage, 3.7
Total, Valcea, November 2020, Percentage, 3.6
Total, Valcea, December 2020, Percentage, 3.6
Total, WEST, January 2019, Percentage, 1.9
Total, WEST, February 2019, Percentage, 1.8
Total, WEST, March 2019, Percentage, 1.8
Total, WEST, April 2019, Percentage, 1.7
Total, WEST, May 2019, Percentage, 1.6
Total, WEST, June 2019, Percentage, 1.7
Total, WEST, July 2019, Percentage, 1.8
Total, WEST, August 2019, Percentage, 1.8
Total, WEST, September 2019, Percentage, 1.8
Total, WEST, October 2019, Percentage, 1.7
Total, WEST, November 2019, Percentage, 1.7
Total, WEST, December 2019, Percentage, 1.7
Total, WEST, January 2020, Percentage, 1.7
Total, WEST, February 2020, Percentage, 1.6
Total, WEST, March 2020, Percentage, 1.6
Total, WEST, April 2020, Percentage, 1.7
Total, WEST, May 2020, Percentage, 1.8
Total, WEST, June 2020, Percentage, 1.9
Total, WEST, July 2020, Percentage, 2.2
Total, WEST, August 2020, Percentage, 2.3
Total, WEST, September 2020, Percentage, 2.2
Total, WEST, October 2020, Percentage, 2.2
Total, WEST, November 2020, Percentage, 2.2
Total, WEST, December 2020, Percentage, 2.2
Total, Arad, January 2019, Percentage, 1.4
Total, Arad, February 2019, Percentage, 1.4
Total, Arad, March 2019, Percentage, 1.3
Total, Arad, April 2019, Percentage, 1.2
Total, Arad, May 2019, Percentage, 1.1
Total, Arad, June 2019, Percentage, 1.3
Total, Arad, July 2019, Percentage, 1.5
Total, Arad, August 2019, Percentage, 1.5
Total, Arad, September 2019, Percentage, 1.5
Total, Arad, October 2019, Percentage, 1.5
Total, Arad, November 2019, Percentage, 1.5
Total, Arad, December 2019, Percentage, 1.2
Total, Arad, January 2020, Percentage, 1.1
Total, Arad, February 2020, Percentage, 1
Total, Arad, March 2020, Percentage, 1.1
Total, Arad, April 2020, Percentage, 1.2
Total, Arad, May 2020, Percentage, 1.3
Total, Arad, June 2020, Percentage, 1.6
Total, Arad, July 2020, Percentage, 2.2
Total, Arad, August 2020, Percentage, 2.3
Total, Arad, September 2020, Percentage, 2.3
Total, Arad, October 2020, Percentage, 2.2
Total, Arad, November 2020, Percentage, 2.2
Total, Arad, December 2020, Percentage, 2.2
Total, Caras-Severin, January 2019, Percentage, 3.3
Total, Caras-Severin, February 2019, Percentage, 3.3
Total, Caras-Severin, March 2019, Percentage, 3.3
Total, Caras-Severin, April 2019, Percentage, 3
Total, Caras-Severin, May 2019, Percentage, 2.9
Total, Caras-Severin, June 2019, Percentage, 2.9
Total, Caras-Severin, July 2019, Percentage, 3.1
Total, Caras-Severin, August 2019, Percentage, 3.2
Total, Caras-Severin, September 2019, Percentage, 3.2
Total, Caras-Severin, October 2019, Percentage, 3.2
Total, Caras-Severin, November 2019, Percentage, 3.2
Total, Caras-Severin, December 2019, Percentage, 3.1
Total, Caras-Severin, January 2020, Percentage, 3.1
Total, Caras-Severin, February 2020, Percentage, 3.1
Total, Caras-Severin, March 2020, Percentage, 3
Total, Caras-Severin, April 2020, Percentage, 2.8
Total, Caras-Severin, May 2020, Percentage, 2.9
Total, Caras-Severin, June 2020, Percentage, 3.1
Total, Caras-Severin, July 2020, Percentage, 3.6
Total, Caras-Severin, August 2020, Percentage, 3.7
Total, Caras-Severin, September 2020, Percentage, 3.5
Total, Caras-Severin, October 2020, Percentage, 3.4
Total, Caras-Severin, November 2020, Percentage, 3.5
Total, Caras-Severin, December 2020, Percentage, 3.4
Total, Hunedoara, January 2019, Percentage, 3.7
Total, Hunedoara, February 2019, Percentage, 3.7
Total, Hunedoara, March 2019, Percentage, 3.6
Total, Hunedoara, April 2019, Percentage, 3.4
Total, Hunedoara, May 2019, Percentage, 3.4
Total, Hunedoara, June 2019, Percentage, 3.3
Total, Hunedoara, July 2019, Percentage, 3.4
Total, Hunedoara, August 2019, Percentage, 3.3
Total, Hunedoara, September 2019, Percentage, 3
Total, Hunedoara, October 2019, Percentage, 2.9
Total, Hunedoara, November 2019, Percentage, 3
Total, Hunedoara, December 2019, Percentage, 3
Total, Hunedoara, January 2020, Percentage, 3.2
Total, Hunedoara, February 2020, Percentage, 3.2
Total, Hunedoara, March 2020, Percentage, 3.4
Total, Hunedoara, April 2020, Percentage, 3.6
Total, Hunedoara, May 2020, Percentage, 3.8
Total, Hunedoara, June 2020, Percentage, 3.7
Total, Hunedoara, July 2020, Percentage, 3.8
Total, Hunedoara, August 2020, Percentage, 3.7
Total, Hunedoara, September 2020, Percentage, 3.5
Total, Hunedoara, October 2020, Percentage, 3.5
Total, Hunedoara, November 2020, Percentage, 3.5
Total, Hunedoara, December 2020, Percentage, 3.4
Total, Timis, January 2019, Percentage, .8
Total, Timis, February 2019, Percentage, .8
Total, Timis, March 2019, Percentage, .7
Total, Timis, April 2019, Percentage, .7
Total, Timis, May 2019, Percentage, .8
Total, Timis, June 2019, Percentage, .8
Total, Timis, July 2019, Percentage, .8
Total, Timis, August 2019, Percentage, .9
Total, Timis, September 2019, Percentage, .9
Total, Timis, October 2019, Percentage, .8
Total, Timis, November 2019, Percentage, .8
Total, Timis, December 2019, Percentage, .8
Total, Timis, January 2020, Percentage, .8
Total, Timis, February 2020, Percentage, .8
Total, Timis, March 2020, Percentage, .7
Total, Timis, April 2020, Percentage, .8
Total, Timis, May 2020, Percentage, .8
Total, Timis, June 2020, Percentage, .9
Total, Timis, July 2020, Percentage, 1.1
Total, Timis, August 2020, Percentage, 1.2
Total, Timis, September 2020, Percentage, 1.2
Total, Timis, October 2020, Percentage, 1.2
Total, Timis, November 2020, Percentage, 1.2
Total, Timis, December 2020, Percentage, 1.3
