,05/01/2020,12/01/2020,19/01/2020,26/01/2020,02/02/2020,09/02/2020,16/02/2020,23/02/2020,01/03/2020,08/03/2020,15/03/2020,22/03/2020,29/03/2020,05/04/2020,12/04/2020,19/04/2020,26/04/2020,03/05/2020,10/05/2020,17/05/2020,24/05/2020,31/05/2020,07/06/2020,14/06/2020,21/06/2020,28/06/2020,05/07/2020,12/07/2020,19/07/2020,26/07/2020,02/08/2020,09/08/2020,16/08/2020,23/08/2020,30/08/2020,06/09/2020,13/09/2020,20/09/2020,27/09/2020,04/10/2020,11/10/2020,18/10/2020,25/10/2020,01/11/2020,08/11/2020,15/11/2020,22/11/2020,29/11/2020,06/12/2020,13/12/2020,20/12/2020,27/12/2020,03/01/2021,10/01/2021,17/01/2021,24/01/2021,31/01/2021,07/02/2021,14/02/2021,21/02/2021,28/02/2021,07/03/2021,14/03/2021,21/03/2021,28/03/2021,04/04/2021,11/04/2021,18/04/2021,25/04/2021,02/05/2021,09/05/2021,16/05/2021,23/05/2021,30/05/2021,06/06/2021,13/06/2021,20/06/2021,27/06/2021,04/07/2021,11/07/2021,18/07/2021,25/07/2021,01/08/2021,08/08/2021,15/08/2021,22/08/2021,29/08/2021,05/09/2021,12/09/2021,19/09/2021,26/09/2021,03/10/2021,10/10/2021,17/10/2021,24/10/2021,31/10/2021,07/11/2021,14/11/2021,21/11/2021,28/11/2021,05/12/2021,12/12/2021,19/12/2021,26/12/2021,02/01/2022,09/01/2022,16/01/2022,23/01/2022,30/01/2022
HR021,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,5,5,8,6,2,5,6,9,3,9,13,11,13,5,9,5,6,3,1,3,1,2,0,2,3,4,5,6,7,4,6,6,3,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,3,5,6,4,0,,,,,,,,,,,,,,
HR024,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,1,2,3,3,9,14,5,11,9,10,4,15,5,7,5,4,5,2,3,3,8,4,4,5,3,5,8,10,7,9,9,3,3,0,1,1,0,0,0,0,1,0,0,0,1,1,3,1,0,4,3,4,0,,,,,,,,,,,,,,
HR037,,,,,,,,,,,,0,0,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,1,0,0,3,5,5,9,3,3,8,6,3,4,5,1,1,1,1,0,2,2,5,7,8,15,8,3,7,2,0,3,2,2,0,0,0,0,0,0,0,1,0,2,2,2,2,1,0,2,2,2,0,3,0,,,,,,,,,,,,,,
HR050,,,,,,,,,,,,0,1,4,8,11,8,4,1,0,0,9,1,0,0,0,1,2,1,2,0,0,1,0,3,3,6,6,10,8,12,20,37,48,63,85,96,93,136,125,138,163,117,97,92,84,79,47,54,42,28,20,31,27,31,39,71,71,78,106,96,72,58,40,30,13,16,10,7,0,5,2,4,1,2,8,6,14,23,18,37,29,29,45,2,,,,,,,,,,,,,,
HR036,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,1,0,0,0,0,0,0,0,0,1,1,2,1,5,4,3,6,5,9,8,3,2,4,3,1,2,4,5,2,2,2,2,5,9,7,9,12,9,9,10,2,0,1,0,2,0,0,0,0,0,0,0,1,0,2,1,2,2,2,2,0,0,,,,,,,,,,,,,,
HR027,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,3,9,11,15,18,13,17,17,33,32,22,19,15,4,7,5,3,2,1,3,1,11,17,18,26,17,33,24,16,11,9,7,0,5,3,1,0,0,0,0,0,1,0,1,1,0,5,6,2,2,3,3,1,,,,,,,,,,,,,,
HR063,,,,,,,,,,,,0,0,0,0,0,0,4,6,1,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,3,2,2,10,16,16,17,24,7,15,13,4,5,6,6,11,6,2,2,1,1,1,0,0,3,7,10,11,4,4,3,0,0,0,0,0,1,0,1,2,0,1,0,0,1,0,0,3,3,4,3,0,,,,,,,,,,,,,,
HR064,,,,,,,,,,,,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,14,17,36,33,15,27,30,26,12,11,8,6,13,4,8,3,1,1,2,2,3,4,9,6,7,6,4,6,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,2,3,0,,,,,,,,,,,,,,
HR032,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,4,3,1,3,8,14,9,7,6,9,5,3,6,2,1,1,1,0,1,2,1,5,2,11,8,2,2,3,6,1,4,1,3,1,1,1,0,0,0,0,0,1,0,0,1,0,3,1,1,2,1,0,,,,,,,,,,,,,,
HR061,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,23,13,11,10,16,20,19,12,7,4,1,5,2,4,3,2,1,3,1,1,1,2,1,1,1,5,6,6,6,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0,,,,,,,,,,,,,,
HR025,,,,,,,,,,,,0,0,6,3,3,1,1,1,0,0,1,0,0,0,0,0,0,0,4,9,7,3,3,3,2,2,4,3,3,4,2,11,22,28,31,53,50,49,55,67,48,60,29,27,17,28,16,16,9,13,2,13,11,7,23,26,21,29,34,29,29,34,12,7,4,1,1,1,0,1,0,2,1,2,1,3,5,3,3,5,11,6,16,3,,,,,,,,,,,,,,
HR023,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,1,3,6,12,10,9,6,5,9,7,0,2,3,2,0,3,0,0,1,0,1,3,5,4,1,5,5,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,,,,,,,,,,,,,,
HR031,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,6,3,2,2,0,9,18,9,18,26,22,27,17,23,15,8,9,5,5,6,2,7,4,4,6,13,22,32,40,29,40,23,20,7,5,2,0,0,2,1,1,2,1,0,0,0,3,0,4,4,4,4,4,2,6,2,,,,,,,,,,,,,,
HR028,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,3,6,3,9,7,13,17,28,18,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,4,1,,,,,,,,,,,,,,
HR035,,,,,,,,,,,,0,0,1,8,12,7,14,2,1,1,2,0,1,0,0,4,0,0,2,2,2,2,0,3,7,12,4,3,2,1,2,2,6,19,17,15,15,38,47,40,32,18,18,14,21,8,15,13,16,9,10,12,12,15,14,12,26,22,11,17,10,7,4,3,2,3,3,1,0,0,0,1,1,0,2,8,7,19,6,15,5,9,6,0,,,,,,,,,,,,,,
HR062,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,12,21,23,31,42,33,44,36,36,19,17,16,17,6,12,8,6,2,1,1,8,3,14,12,16,29,20,18,22,6,8,2,6,2,2,3,1,1,1,0,0,0,0,0,0,1,2,1,13,6,2,,,,,,,,,,,,,,
HR022,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,3,1,1,3,8,9,4,13,5,6,4,2,5,3,1,0,1,2,2,0,1,1,3,1,3,2,3,3,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,1,4,2,2,2,1,6,0,,,,,,,,,,,,,,
HR026,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,1,0,1,0,0,0,0,0,2,10,8,10,4,11,19,15,16,8,4,12,7,7,4,3,1,6,1,0,0,1,2,2,2,11,8,9,6,6,4,1,0,3,0,4,0,1,0,0,1,0,0,0,0,2,3,4,3,1,2,0,,,,,,,,,,,,,,
HR033,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,3,0,1,0,0,0,0,1,1,6,4,12,7,12,22,17,6,9,4,7,5,2,1,3,4,1,1,5,4,3,15,13,9,14,11,12,2,4,3,6,2,0,1,2,0,1,4,2,2,0,3,5,3,4,5,2,4,5,0,,,,,,,,,,,,,,
HR065,,,,,,,,,,,,0,1,3,11,6,3,0,0,0,0,4,0,0,0,0,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
HR034,,,,,,,,,,,,0,0,0,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,5,4,1,5,7,10,8,7,13,4,4,3,3,1,4,2,2,2,1,2,0,5,7,6,13,5,9,8,1,3,2,2,3,0,0,2,1,0,1,1,1,0,0,2,1,0,2,1,2,2,0,,,,,,,,,,,,,,
LT011,,,,,,,,,,,,0,3,4,3,1,1,1,3,10,4,6,3,0,0,0,2,1,2,2,0,4,0,1,0,0,1,0,1,0,2,1,2,4,20,39,67,64,95,118,144,140,138,118,131,83,96,91,57,63,48,52,47,59,77,59,84,68,65,63,81,77,71,38,37,34,22,18,11,8,10,8,3,3,7,15,15,10,32,24,34,59,49,85,60,109,110,80,76,77,16,,,,,,,,
LT021,,,,,,,,,,,,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,7,21,23,26,32,46,35,20,18,17,9,12,10,5,10,8,14,5,5,8,4,4,7,3,9,10,11,6,3,6,4,0,0,4,2,0,0,1,4,1,5,8,6,6,9,15,17,26,25,22,17,13,25,23,4,,,,,,,,
LT022,,,,,,,,,,,,0,0,1,0,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1,1,1,4,3,4,6,8,17,25,47,57,76,110,100,139,125,122,91,79,81,67,52,48,33,33,35,32,28,18,13,19,21,32,40,37,16,25,25,12,19,8,9,7,6,5,4,6,2,5,7,14,16,27,18,20,34,51,49,51,69,79,72,89,68,15,,,,,,,,
LT023,,,,,,,,,,,,0,2,2,4,6,5,3,3,1,0,0,0,2,1,2,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,5,8,16,18,33,34,48,46,56,70,69,59,57,41,34,30,29,25,21,18,22,17,21,9,10,12,11,22,14,12,11,12,5,9,8,4,2,2,2,2,6,5,11,14,18,20,18,32,38,46,36,50,47,49,42,46,28,27,10,,,,,,,,
LT024,,,,,,,,,,,,0,0,0,1,1,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,8,10,15,24,36,27,32,27,27,16,15,16,14,13,10,4,6,5,8,11,10,10,7,5,12,6,7,8,11,3,1,3,3,0,1,1,1,1,0,1,3,7,2,5,9,6,8,14,8,12,12,13,19,15,17,6,,,,,,,,
LT025,,,,,,,,,,,,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,3,5,9,13,29,30,46,53,52,53,50,46,39,38,30,31,31,19,27,34,19,17,11,14,19,25,13,10,8,8,8,13,2,7,4,3,1,1,1,3,1,5,6,4,9,13,9,8,8,18,23,28,43,35,18,19,15,4,,,,,,,,
LT026,,,,,,,,,,,,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,9,8,17,19,20,22,46,41,50,48,52,66,61,55,41,44,32,27,26,15,18,18,7,10,3,1,7,2,6,10,7,7,8,14,6,12,6,2,4,3,1,0,3,3,2,4,6,5,17,20,23,37,35,48,48,52,40,43,43,32,4,,,,,,,,
LT027,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,4,8,12,26,17,21,25,23,18,18,17,12,13,10,13,12,11,6,9,14,4,1,4,2,1,2,2,3,2,3,6,3,1,0,1,3,3,0,1,0,2,1,3,0,3,4,7,13,14,11,10,17,19,20,18,13,10,2,,,,,,,,
LT028,,,,,,,,,,,,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,4,20,34,20,24,25,37,34,32,23,16,21,23,16,6,8,8,4,3,3,0,2,3,1,2,2,0,0,7,7,8,1,0,4,2,1,0,0,1,2,4,5,10,8,14,15,16,22,22,15,23,16,20,26,14,4,1,,,,,,,,
LT029,,,,,,,,,,,,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,2,5,10,8,15,16,30,37,22,27,33,25,11,28,11,19,15,10,9,8,5,8,8,11,10,5,12,8,8,6,5,0,0,1,1,1,0,1,0,0,1,3,3,4,7,6,12,10,10,19,16,13,15,12,10,2,,,,,,,,
SI031,,,,,,,,,,,0,0,0,0,2,8,1,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,7,21,26,51,51,46,23,27,20,26,8,13,12,10,13,16,6,7,10,3,3,6,2,3,0,3,2,3,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,5,10,4,16,2,0,,,,,,,,
SI032,,,,,,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,2,4,9,20,41,44,45,71,87,88,65,55,33,49,37,33,29,30,16,9,18,8,10,18,12,20,18,7,6,11,4,3,6,1,2,6,2,2,0,1,0,1,0,1,0,1,1,2,7,6,8,4,8,7,13,15,18,32,30,4,0,,,,,,,,
SI033,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,4,11,13,17,18,21,25,11,7,9,5,9,10,4,5,2,2,3,3,0,4,3,5,3,2,1,0,2,0,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,3,2,4,2,0,0,,,,,,,,
SI034,,,,,,,,,,,0,0,2,9,11,4,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,1,3,6,13,18,21,34,18,25,46,29,17,32,38,23,26,20,17,18,7,4,9,5,7,8,4,11,7,11,16,13,6,8,6,7,3,1,0,0,0,0,0,0,0,0,0,2,2,1,4,7,8,6,5,8,5,7,4,11,17,15,0,,,,,,,,
SI035,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,0,0,0,0,0,0,0,0,1,0,5,4,5,14,6,2,1,5,8,5,2,11,5,7,4,1,2,1,2,2,5,2,2,3,0,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2,5,3,2,1,3,3,6,7,5,0,,,,,,,,
SI036,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,25,9,5,2,7,9,7,11,9,9,10,13,16,8,5,3,2,1,0,1,0,0,0,2,5,4,6,1,3,2,0,1,2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,2,2,3,1,3,10,5,0,,,,,,,,
SI037,,,,,,,,,,,0,1,4,2,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,11,15,20,33,29,33,19,12,19,21,21,15,18,8,5,7,0,0,0,2,0,2,1,0,3,4,3,4,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,4,3,0,2,6,6,4,10,2,0,,,,,,,,
SI038,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,8,4,10,24,14,7,5,2,2,1,3,2,2,0,1,2,2,3,1,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,2,0,1,4,8,12,4,0,0,,,,,,,,
SI041,,,,,,,,,,,0,0,0,7,9,4,1,1,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,1,1,3,7,14,26,37,60,57,67,76,81,92,50,74,47,36,34,27,14,16,4,13,2,4,8,5,7,3,5,11,5,9,1,2,1,7,4,2,3,0,5,0,0,1,0,0,2,3,2,3,8,11,12,11,7,12,11,33,27,14,3,0,,,,,,,,
SI042,,,,,,,,,,,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,6,13,30,32,39,31,36,26,23,17,14,11,8,16,12,11,9,8,8,6,2,4,1,6,3,3,7,4,4,1,3,1,3,0,1,2,0,0,0,0,0,0,0,0,1,0,1,3,4,3,6,2,5,4,6,12,9,3,2,0,,,,,,,,
SI043,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,2,7,15,20,25,23,27,18,13,6,14,17,19,14,4,4,2,5,6,5,2,5,7,3,3,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,4,0,5,3,2,6,2,0,0,,,,,,,,
SI044,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,4,11,17,19,16,24,12,5,4,7,12,9,5,2,1,2,2,1,1,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,8,3,4,7,6,8,5,0,0,,,,,,,,
PL51,,,,,,,,,,,1,1,2,6,13,7,11,11,15,22,7,8,13,8,11,3,10,1,2,0,3,3,2,1,5,2,3,2,3,8,12,23,52,83,159,194,224,154,228,196,161,97,112,111,104,81,115,86,86,71,96,91,136,94,169,210,228,220,237,220,159,132,105,72,23,36,25,6,5,18,4,3,0,2,0,3,0,2,1,2,2,3,8,11,13,17,32,33,76,93,41,,,,,,,,
PL61,,,,,,,,,,,0,0,0,1,6,9,10,3,3,11,2,1,1,2,0,0,0,0,0,1,0,0,1,0,3,0,1,4,8,7,23,19,35,33,40,158,128,400,37,195,195,176,137,209,189,171,156,197,125,98,97,115,133,157,192,234,229,251,172,161,117,85,51,30,16,21,7,11,6,4,2,0,3,3,0,0,2,1,4,2,6,11,14,9,10,26,29,63,116,122,34,,,,,,,,
PL43,,,,,,,,,,,1,0,2,3,4,0,2,2,0,0,1,0,1,0,1,0,1,2,0,0,1,0,2,1,1,1,5,3,4,12,25,44,54,88,164,171,225,142,237,145,153,129,98,158,154,149,116,133,151,97,118,90,106,109,161,151,211,161,150,107,78,73,53,35,34,23,13,19,8,5,5,4,1,3,0,2,1,5,2,12,10,22,39,65,64,148,174,216,363,290,67,,,,,,,,
PL34,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,2,0,1,1,1,1,0,1,3,1,10,13,28,78,45,85,66,63,78,119,18,34,57,81,69,65,47,51,53,46,58,67,71,95,60,86,127,92,53,58,45,37,15,16,5,4,2,4,4,0,1,1,2,0,0,1,1,3,1,0,0,1,1,7,2,3,11,20,68,11,,,,,,,,
PL92,,,,,,,,,,,0,1,3,16,48,38,66,32,17,10,15,17,19,15,16,13,20,6,13,6,6,12,3,8,7,7,10,9,10,13,36,51,70,151,266,327,358,274,324,302,272,189,179,213,240,259,301,358,261,211,241,219,340,288,312,406,446,460,385,284,199,183,117,105,25,54,29,19,11,7,8,1,0,2,1,4,1,2,9,5,8,21,17,25,51,88,110,178,331,335,49,,,,,,,,
PL21,,,,,,,,,,,0,0,1,6,4,6,10,4,4,4,1,0,0,0,4,0,0,1,2,5,18,11,15,13,19,21,9,14,17,15,36,85,120,204,275,303,401,212,247,184,128,86,73,74,110,89,81,81,91,79,88,77,92,162,163,250,328,356,231,234,171,137,90,71,39,36,14,17,13,11,2,1,1,0,1,1,2,2,5,5,10,8,15,12,21,29,39,92,149,173,41,,,,,,,,
PL52,,,,,,,,,,,0,0,0,1,6,7,10,5,5,5,6,2,2,0,1,1,0,2,1,0,3,1,1,1,0,4,2,6,7,2,20,14,47,51,77,126,105,65,131,73,81,52,51,50,24,33,25,44,50,30,32,22,30,40,62,81,101,75,71,58,49,42,23,22,10,4,9,5,2,1,1,0,1,0,1,0,0,1,0,1,1,9,5,5,11,4,19,23,55,66,16,,,,,,,,
PL82,,,,,,,,,,,0,1,0,4,6,5,0,8,4,3,4,0,2,3,7,3,2,3,1,2,2,10,5,4,3,8,7,15,14,15,36,65,84,122,149,154,277,194,165,154,109,77,73,78,102,64,61,74,65,64,103,107,115,166,201,220,221,250,227,159,104,70,51,31,25,9,11,4,3,1,8,2,0,3,2,0,1,3,3,5,6,9,14,22,17,27,45,63,146,169,21,,,,,,,,
PL84,,,,,,,,,,,0,0,0,1,1,1,0,2,2,2,0,0,0,0,1,0,2,4,0,2,3,2,3,3,1,2,1,6,4,5,15,19,18,31,58,91,107,90,94,84,74,30,48,58,45,57,69,59,57,70,77,70,62,74,74,70,81,79,80,55,39,28,19,22,9,13,4,1,1,0,2,0,1,0,3,0,1,0,2,3,3,8,10,20,32,45,76,82,130,148,47,,,,,,,,
PL63,,,,,,,,,,,0,0,0,0,1,1,1,12,11,2,2,5,1,1,1,0,0,0,1,0,0,0,1,4,0,5,1,4,13,25,32,49,48,79,103,120,160,738,214,139,139,76,100,182,116,171,126,158,177,115,141,108,120,127,170,174,174,200,167,123,107,83,74,21,14,10,28,5,9,4,3,1,3,0,1,1,0,5,1,4,2,5,9,3,2,14,8,48,55,73,21,,,,,,,,
PL62,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,4,0,0,1,3,9,14,14,26,30,72,57,112,445,179,154,137,88,72,111,122,131,107,64,69,58,75,80,109,123,103,126,105,81,70,62,45,30,58,31,11,18,6,3,6,1,2,0,1,2,0,0,4,2,0,2,2,3,3,10,14,20,30,40,62,67,34,,,,,,,,
PL41,,,,,,,,,,,1,1,0,12,21,16,26,17,22,23,6,8,4,8,5,5,2,8,5,3,6,7,7,5,7,5,9,14,18,42,49,57,86,123,148,223,301,162,330,278,349,282,208,207,286,224,185,178,151,108,115,133,136,197,181,299,324,383,337,238,215,145,103,72,32,47,35,8,8,4,6,3,4,3,2,0,2,1,1,3,11,3,8,14,22,24,26,50,68,125,32,,,,,,,,
PL42,,,,,,,,,,,0,0,1,1,0,2,5,1,6,2,1,0,0,0,1,0,2,1,0,0,0,0,0,4,0,1,0,2,1,5,3,8,19,32,80,40,140,71,122,122,108,105,67,126,157,100,102,107,84,56,89,53,59,68,76,87,78,113,128,100,72,78,52,32,25,19,9,8,3,1,3,2,0,0,2,0,3,3,1,2,9,3,4,10,14,13,18,38,69,96,11,,,,,,,,
PL71,,,,,,,,,,,0,0,0,3,4,3,11,13,6,8,10,8,13,28,33,21,15,11,5,11,4,8,8,3,9,4,6,11,19,8,21,20,45,58,88,82,141,172,202,248,195,111,81,264,184,166,127,135,107,87,80,79,96,119,143,218,224,220,257,212,134,129,74,56,42,35,12,8,7,8,2,2,3,0,0,0,2,4,8,7,6,7,9,20,21,47,56,80,105,158,31,,,,,,,,
PL22,,,,,,,,,,,0,0,5,17,22,30,20,32,23,29,13,17,33,25,22,31,22,15,17,11,11,19,20,26,17,24,11,13,16,24,37,63,111,163,230,312,397,256,372,331,241,134,151,172,182,163,149,127,124,129,158,182,228,283,332,393,502,516,621,454,305,322,291,150,70,49,37,27,10,3,2,5,0,3,0,5,3,3,2,2,4,10,16,13,23,46,55,78,144,172,49,,,,,,,,
PL72,,,,,,,,,,,0,0,1,0,1,2,3,1,4,5,3,2,2,2,6,6,2,1,4,0,0,1,1,2,1,2,1,1,1,5,14,29,36,70,101,74,109,75,100,71,60,65,31,36,41,68,34,60,49,29,47,35,57,83,129,95,142,159,77,150,80,76,72,35,24,35,12,7,10,1,5,2,0,1,1,1,1,2,4,6,4,1,2,6,10,16,29,23,63,71,21,,,,,,,,
EL611,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
EL612,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
EL613,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
EL412,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
EL413,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
EL621,,,,,,,,,0,0,0,6,8,7,9,7,9,6,5,11,6,6,2,0,0,0,1,1,0,2,1,4,3,3,3,5,11,16,16,11,25,33,32,28,31,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
